Event Text,event summary,original_word_count,summary_word_count,elapse time (s)
"<s>a. We aim to live within our means, and commit to running a balanced budget over each term of Government;</s>","<s>a. We aim to live within our means, and commit to running a balanced budget over each term of Government;</s>",20,20,4.11000000895001e-05
<s>b. We are prudent in our spending while doing our best to ensure that we meet the needs of our people;</s>,<s>b. We are prudent in our spending while doing our best to ensure that we meet the needs of our people;</s>,21,21,2.6199999410891905e-05
<s>c. We generate revenues to cover recurrent expenditures so as to avoid burdening Singaporeans with debt; and </s>,<s>c. We generate revenues to cover recurrent expenditures so as to avoid burdening Singaporeans with debt; and </s>,18,18,2.559999848017469e-05
<s>d. We have a fair and progressive system of taxes and transfers. </s>,<s>d. We have a fair and progressive system of taxes and transfers. </s>,13,13,0.0001407999989169184
<s>Reserves Policies</s>,<s>Reserves Policies</s>,2,2,3.06999991153134e-05
<s>9. Our reserves are a key strategic asset for Singapore and Singaporeans of all generations.</s>,<s>9. Our reserves are a key strategic asset for Singapore and Singaporeans of all generations.</s>,15,15,2.5200000891345553e-05
<s>10. Our reserves policies are also founded on a set of core principles: </s>,<s>10. Our reserves policies are also founded on a set of core principles: </s>,14,14,2.4700000722077675e-05
<s>a. Our reserves help current and future generations of Singaporeans.</s>,<s>a. Our reserves help current and future generations of Singaporeans.</s>,10,10,0.00012719999904220458
"<s>b. We save our reserves, invest them, and use the investment returns sustainably.</s>","<s>b. We save our reserves, invest them, and use the investment returns sustainably.</s>",13,13,3.060000017285347e-05
"<s>c. If needed, we will tap on our reserves to help Singapore and Singaporeans get through exceptional crises.</s>","<s>c. If needed, we will tap on our reserves to help Singapore and Singaporeans get through exceptional crises.</s>",18,18,2.660000063769985e-05
"<s>11. The investment returns from our reserves provide a steady stream of income to supplement the Government’s budget, and give us greater fiscal means than we would otherwise have.</s>","<s>11. The investment returns from our reserves provide a steady stream of income to supplement the Government’s budget, and give us greater fiscal means than we would otherwise have.</s>",29,29,3.5400000342633575e-05
"<s>a. The Net Investment Returns Contribution (NIRC), accounts for about 20 cents out of every one dollar, or one-fifth, of Government revenues.</s>","<s>a. The Net Investment Returns Contribution (NIRC), accounts for about 20 cents out of every one dollar, or one-fifth, of Government revenues.</s>",22,22,0.0001413000009051757
<s>b. Present-day Singaporeans benefit directly from the reserves every year via the NIRC.</s>,<s>b. Present-day Singaporeans benefit directly from the reserves every year via the NIRC.</s>,13,13,2.5299999833805487e-05
<s>c. And also during crises such as the COVID-19 pandemic.</s>,<s>c. And also during crises such as the COVID-19 pandemic.</s>,10,10,0.0005449000000226079
"<s>12. At the same time, we do not spend all of our investment returns. We save half of them to cater to future needs – for both the current and future generations.</s>","<s>12. At the same time, we do not spend all of our investment returns. We save half of them to cater to future needs – for both the current and future generations.</s>",32,32,3.170000127283856e-05
"<s>13. Our fiscal and reserves approaches are thus underpinned by the principles of: fairness, prudence, and sustainability.</s>","<s>13. Our fiscal and reserves approaches are thus underpinned by the principles of: fairness, prudence, and sustainability.</s>",17,17,0.000433899998824927
<s>What we have achieved with our Budget and Reserves Policies</s>,<s>What we have achieved with our Budget and Reserves Policies</s>,10,10,2.9299999368959107e-05
"<s>14. While Singapore will always be a work in progress, and we are always striving to do better, the Government’s fiscal and reserves policies have served Singaporeans well.</s>","<s>14. While Singapore will always be a work in progress, and we are always striving to do better, the Government’s fiscal and reserves policies have served Singaporeans well.</s>",28,28,2.829999903042335e-05
"<s>15. Far from what the PSP suggests, our fiscal and reserves policies have enabled us not just to help Singaporeans across generations to improve their lives, but also to achieve remarkable things together, and to chart our future with confidence.</s>","<s>15. Far from what the PSP suggests, our fiscal and reserves policies have enabled us not just to help Singaporeans across generations to improve their lives, but also to achieve remarkable things together, and to chart our future with confidence.</s>",40,40,3.3799999073380604e-05
"<s>16. To appreciate the full extent of how our policies have helped us, one must consider our context – a country with no natural resources, a population size a mere fraction of others, competing with economies far larger, more developed, and much more endowed than ourselves.</s>","<s>16. To appreciate the full extent of how our policies have helped us, one must consider our context – a country with no natural resources, a population size a mere fraction of others, competing with economies far larger, more developed, and much more endowed than ourselves.</s>",46,46,2.849999873433262e-05
"<s>17. Despite the odds, we have been able to help Singaporeans cope with challenges, and seize opportunities. </s>","<s>17. Despite the odds, we have been able to help Singaporeans cope with challenges, and seize opportunities. </s>",18,18,0.00010819999988598283
<s>18. Consider the following:</s>,<s>18. Consider the following:</s>,4,4,2.8100001145503484e-05
"<s>19. Covid-19: The Covid-19 pandemic was a crisis of a generation. But because of our fiscal and reserves policies, we were able to deploy about $80 billion to fight the pandemic, half of which were drawn from the Past Reserves. This allowed us to save lives, save jobs, and emerge from the pandemic stronger. We did that for this current generation. We were able to provide critical support to households, such as through the Care and Support Package and the COVID-19 Support Grant. We could gain timely access to vaccines to keep our population protected and safe; and save Singaporean workers’ jobs and keep businesses afloat, such as through the Jobs Support Scheme.</s>","Singapore was able to deploy about $80 billion to fight the pandemic, half of which were drawn from the Past Reserves. We were able to provide critical support to households, such as through the Care and Support Package. We could gain timely access to vaccines to keep our population protected and safe.",113,52,9.619202199999563
"<s>20. Unlike many other countries, we did not have to borrow to fund our crisis spending. Some of those countries will take decades to repay their pandemic debt.</s>","<s>20. Unlike many other countries, we did not have to borrow to fund our crisis spending. Some of those countries will take decades to repay their pandemic debt.</s>",28,28,0.00010210000073129777
"<s>21. Economy: We kept our economy going through the pandemic, and we are enhancing our attractiveness as a global business hub, even as we weather global economic and geopolitical headwinds.</s>","<s>21. Economy: We kept our economy going through the pandemic, and we are enhancing our attractiveness as a global business hub, even as we weather global economic and geopolitical headwinds.</s>",30,30,3.300000025774352e-05
"<s>22. Cost of Living: We are also mindful that people are experiencing inflation, cost-of-living issues, and cost pressures. To help households cope with the cost of living, inflation, and the GST increase, the Government:</s>","<s>22. Cost of Living: We are also mindful that people are experiencing inflation, cost-of-living issues, and cost pressures. To help households cope with the cost of living, inflation, and the GST increase, the Government:</s>",34,34,2.789999962260481e-05
<s>a. Enhanced the Assurance Package from $6 billion to over $10 billion; and</s>,<s>a. Enhanced the Assurance Package from $6 billion to over $10 billion; and</s>,13,13,2.3800001144991256e-05
"<s>b. Continues to provide additional support, such as through the enhanced GST Voucher – Cash, CDC vouchers, and U-Save and S&CC rebates. </s>","<s>b. Continues to provide additional support, such as through the enhanced GST Voucher – Cash, CDC vouchers, and U-Save and S&CC rebates. </s>",23,23,2.6899999284069054e-05
<s>23. Education: Our policies in education have enabled us to provide our children with a good education and a strong foundation for the future.</s>,<s>23. Education: Our policies in education have enabled us to provide our children with a good education and a strong foundation for the future.</s>,24,24,2.479999966453761e-05
"<s>a. Currently, by the time a Singaporean child turns 16, he or she would have received around $200,000 in education and pre-school subsidies.</s>","<s>a. Currently, by the time a Singaporean child turns 16, he or she would have received around $200,000 in education and pre-school subsidies.</s>",23,23,2.5100000129896216e-05
"<s>b. Our students, have consistently performed well in the Programme for International Student Assessment (PISA), emerging as top performers in Reading, Mathematics, and Science in the latest 2022 cycle.</s>","<s>b. Our students, have consistently performed well in the Programme for International Student Assessment (PISA), emerging as top performers in Reading, Mathematics, and Science in the latest 2022 cycle.</s>",29,29,0.00015019999955256935
"<s>24. Jobs: We have created good jobs for Singaporeans and kept unemployment low. We have helped workers to continuously upskill and reskill, by providing SkillsFuture credits and course fee subsidies. We have supported those who have lost jobs to find new ones. </s>","<s>24. Jobs: We have created good jobs for Singaporeans and kept unemployment low. We have helped workers to continuously upskill and reskill, by providing SkillsFuture credits and course fee subsidies. We have supported those who have lost jobs to find new ones. </s>",43,43,2.9499999072868377e-05
"<s>a. Because of our efforts, household real incomes per member for the lower- and middle-income have grown by more than 3% per annum over the past decade.</s>","<s>a. Because of our efforts, household real incomes per member for the lower- and middle-income have grown by more than 3% per annum over the past decade.</s>",27,27,3.690000085043721e-05
"<s>25. Lower-Wage Workers: We have been uplifting our lower-wage workers through the Progressive Wage Model, covering over 90% of lower-wage workers, and Workfare, which supplements wages by up to 25%.</s>","<s>25. Lower-Wage Workers: We have been uplifting our lower-wage workers through the Progressive Wage Model, covering over 90% of lower-wage workers, and Workfare, which supplements wages by up to 25%.</s>",30,30,2.750000021478627e-05
"<s>26. Human Capital: We emerged top among 157 countries in the 2020 World Bank Human Capital Index. This reflects our investments in our people to ensure that they are healthy and well-educated, and to keep our economy competitive. </s>","<s>26. Human Capital: We emerged top among 157 countries in the 2020 World Bank Human Capital Index. This reflects our investments in our people to ensure that they are healthy and well-educated, and to keep our economy competitive. </s>",39,39,2.8200000087963417e-05
"<s>27. Housing:  Our home ownership rate is around 90%, one of the highest in the world.</s>","<s>27. Housing:  Our home ownership rate is around 90%, one of the highest in the world.</s>",16,16,0.00017470000057073776
<s>a. We keep public housing affordable and accessible through generous housing subsidies and grants.</s>,<s>a. We keep public housing affordable and accessible through generous housing subsidies and grants.</s>,14,14,2.5200000891345553e-05
"<s>b. Most homebuyers use less than 25% of their monthly household income to service their HDB loan, and more than eight in ten first-timer new and resale flat buyers have been able to finance their monthly HDB loan instalments using their CPF, with little to no cash outlay. </s>","<s>b. Most homebuyers use less than 25% of their monthly household income to service their HDB loan, and more than eight in ten first-timer new and resale flat buyers have been able to finance their monthly HDB loan instalments using their CPF, with little to no cash outlay. </s>",49,49,3.719999949680641e-05
"<s>28. Healthcare: Because of our fiscal policies, Singaporeans are assured of receiving good and affordable healthcare. </s>","<s>28. Healthcare: Because of our fiscal policies, Singaporeans are assured of receiving good and affordable healthcare. </s>",17,17,2.5699999241624027e-05
"<s>a. All Singaporeans receive means-tested subsidies at public healthcare institutions, covering up to 80%of treatment costs.</s>","<s>a. All Singaporeans receive means-tested subsidies at public healthcare institutions, covering up to 80%of treatment costs.</s>",16,16,2.3999999029911123e-05
"<s>b. They are also covered by MediShield Life for large hospitalisation bills and costly outpatient treatments. The Government also provides subsidies to keep MediShield Life premiums affordable. For those who face financial difficulties, MediFund provides yet another safety net.</s>","<s>b. They are also covered by MediShield Life for large hospitalisation bills and costly outpatient treatments. The Government also provides subsidies to keep MediShield Life premiums affordable. For those who face financial difficulties, MediFund provides yet another safety net.</s>",39,39,0.000112900001113303
"<s>c. Singapore has one of the highest healthy life expectancies in the world. We have been featured on Netflix as one of six healthy ""Blue Zones"", regions with a high concentration of healthy centenarians.</s>","<s>c. Singapore has one of the highest healthy life expectancies in the world. We have been featured on Netflix as one of six healthy ""Blue Zones"", regions with a high concentration of healthy centenarians.</s>",34,34,2.6199999410891905e-05
"<s>29. Retirement Adequacy: As Singaporeans live longer, we ensure our retirement support system provides them with peace of mind in their golden years. </s>","<s>29. Retirement Adequacy: As Singaporeans live longer, we ensure our retirement support system provides them with peace of mind in their golden years. </s>",24,24,2.479999966453761e-05
"<s>a. For those who had low incomes in their working years, we supplement their retirement income through the Silver Support Scheme.</s>","<s>a. For those who had low incomes in their working years, we supplement their retirement income through the Silver Support Scheme.</s>",21,21,2.4100001610349864e-05
<s>b. The Majulah Package will provide a further boost for our seniors and young seniors.</s>,<s>b. The Majulah Package will provide a further boost for our seniors and young seniors.</s>,15,15,2.300000051036477e-05
<s>30. Income Inequality: Our fiscal policies have allowed us to put in place a system of support to provide more for those who have less.</s>,<s>30. Income Inequality: Our fiscal policies have allowed us to put in place a system of support to provide more for those who have less.</s>,25,25,2.3399999918183312e-05
"<s>a. Our Gini co-efficient has improved. Our income inequality has come down over the past fifteen years, especially after we take into account Government transfers and taxes. </s>","<s>a. Our Gini co-efficient has improved. Our income inequality has come down over the past fifteen years, especially after we take into account Government transfers and taxes. </s>",28,28,2.5800000003073364e-05
"<s>31. Well-Being of the Middle-Income: Then, the middle income. We remain focused on the well-being of the broad middle of society, who receive more in benefits than the taxes they pay. </s>","<s>31. Well-Being of the Middle-Income: Then, the middle income. We remain focused on the well-being of the broad middle of society, who receive more in benefits than the taxes they pay. </s>",32,32,2.4900000425986946e-05
"<s>a. For every dollar of tax a middle-income Singaporean household pays, they receive around $2 in benefits, higher than in other countries like the UK and Finland.</s>","<s>a. For every dollar of tax a middle-income Singaporean household pays, they receive around $2 in benefits, higher than in other countries like the UK and Finland.</s>",27,27,8.969999908003956e-05
"<s>b. The lower-income in Singapore receive more, at $4 in benefits for every dollar they pay. </s>","<s>b. The lower-income in Singapore receive more, at $4 in benefits for every dollar they pay. </s>",17,17,2.7300000510876998e-05
"<s>c. Even the upper middle-income group (those in the 61st to 80th percentile) receives about the same or slightly more in benefits compared to what they pay in taxes. They may not get as much in direct cash benefits compared to lower-income groups, but they too enjoy access to affordable housing, healthcare, and world-class education that I have mentioned earlier. </s>","Even the upper middle-income group (those in the 61st to 80th percentile) receives about the same or slightly more in benefits compared to what they pay in taxes. They too enjoy access to affordable housing, healthcare, and world-class education.",61,39,8.547133600000961
<s>32. Value for Money: We try to deliver as much value as possible for every taxpayer dollar.</s>,<s>32. Value for Money: We try to deliver as much value as possible for every taxpayer dollar.</s>,17,17,7.270000060088933e-05
"<s>a. Singapore’s Government expenditure remains among the lowest across advanced economies, at 18% of GDP compared to the OECD average of over 40%. </s>","<s>a. Singapore’s Government expenditure remains among the lowest across advanced economies, at 18% of GDP compared to the OECD average of over 40%. </s>",24,24,2.7799998861155473e-05
"<s>b. But even as we keep public expenditures lean, Singapore produces social and economic outcomes that have been better than most. So being the lowest in terms of spending does not mean that we are not doing good things with it. We are actually getting value for money for Singaporeans.</s>","Singapore is the lowest in terms of public spending in the world. But the country's social and economic outcomes have been better than most. We are actually getting value for money for Singaporeans, says Prime Minister Lee Hsien Loong.",50,39,7.429591099999016
<s>33. Low Tax Burden. Our progressive tax policies have also enabled us to keep the tax burden low.</s>,<s>33. Low Tax Burden. Our progressive tax policies have also enabled us to keep the tax burden low.</s>,18,18,6.550000034621917e-05
"<s>a. 40% of workers do not pay Personal Income Tax. The effective tax burden for middle-income households is around 10% of household income. This is significantly lower than in advanced economies like the US, UK, and Finland, where it can exceed 20% or even 30%. </s>","<s>a. 40% of workers do not pay Personal Income Tax. The effective tax burden for middle-income households is around 10% of household income. This is significantly lower than in advanced economies like the US, UK, and Finland, where it can exceed 20% or even 30%. </s>",46,46,3.189999915775843e-05
"<s>34. Transportation and Infrastructure: Our fiscal policies ensure that we can continuously upgrade our infrastructure, such as our new MRT lines.</s>","<s>34. Transportation and Infrastructure: Our fiscal policies ensure that we can continuously upgrade our infrastructure, such as our new MRT lines.</s>",21,21,2.499999936844688e-05
"<s>a. We set aside funds whenever we can afford to, and we borrow through the Significant Infrastructure Government Loan Act (SINGA).</s>","<s>a. We set aside funds whenever we can afford to, and we borrow through the Significant Infrastructure Government Loan Act (SINGA).</s>",21,21,2.4599999960628338e-05
"<s>b. This way, we spread the costs of such projects fairly and sustainably across current and future Singaporeans, all of whom will benefit from these projects. </s>","<s>b. This way, we spread the costs of such projects fairly and sustainably across current and future Singaporeans, all of whom will benefit from these projects. </s>",27,27,0.0001609999999345746
"<s>35. Climate Change: Our fiscal policies put us on a good footing to tackle climate change, an especially existential threat for Singapore.</s>","<s>35. Climate Change: Our fiscal policies put us on a good footing to tackle climate change, an especially existential threat for Singapore.</s>",22,22,2.7100000806967728e-05
"<s>a. Our carbon tax revenues will be used to support decarbonisation efforts and our transition to a green economy, and cushion the impact on businesses and households.</s>","<s>a. Our carbon tax revenues will be used to support decarbonisation efforts and our transition to a green economy, and cushion the impact on businesses and households.</s>",27,27,2.600000152597204e-05
<s>b. We have also set up the Coastal and Flood Protection Fund (CFPF) to set aside moneys when fiscal conditions permit.</s>,<s>b. We have also set up the Coastal and Flood Protection Fund (CFPF) to set aside moneys when fiscal conditions permit.</s>,21,21,2.429999949526973e-05
"<s>36. We have achieved so much with so little, in large part because of our fiscal policies. We are able to meet our needs yet live within our means; we are able to plan ahead and meet the future with confidence; and we have the assurance that we have the wherewithal to navigate an uncertain world. </s>","We have achieved so much with so little, in large part because of our fiscal policies. We are able to meet our needs yet live within our means. We have the assurance that we have the wherewithal to navigate an uncertain world.",57,42,7.556030300000202
"<s>37. This is why I support the amended motion. In  our budget and reserves policies, anchored on key principles of fairness, prudence, and sustainability, that will enable us to secure our prospects and build a better future together.</s>","<s>37. This is why I support the amended motion. In  our budget and reserves policies, anchored on key principles of fairness, prudence, and sustainability, that will enable us to secure our prospects and build a better future together.</s>",38,38,8.600000001024455e-05
"<s>38. Now, let me move on to the points that the opposition members have made. </s>","<s>38. Now, let me move on to the points that the opposition members have made. </s>",16,16,2.660000063769985e-05
"<s>a. I mentioned earlier that PSP’s position is that the Government has excess fiscal resources that are not being spent on Singaporeans. They say that, over and above this, we would have even more fiscal resources available, if only we changed our reserves policies, especially by spending more from investment returns or land sales, and that aspect is also WP’s position. </s>","""We would have even more fiscal resources available, if only we changed our reserves policies, especially by spending more from investment returns or land sales,"" he said. ""We have excess fiscal resources that are not being spent on Singaporeans,"" he added.",62,41,7.679211399999986
"<s>b. Both call on the Government to reveal the full size of the reserves, ostensibly to facilitate greater accountability and debate.</s>","<s>b. Both call on the Government to reveal the full size of the reserves, ostensibly to facilitate greater accountability and debate.</s>",21,21,0.00044470000102592167
<s>39. Let us address these in turn.</s>,<s>39. Let us address these in turn.</s>,7,7,2.8700000257231295e-05
<s>Budget Policies</s>,<s>Budget Policies</s>,2,2,2.9499999072868377e-05
"<s>40. PSP’s belief that we have plenty of excess fiscal space is misconceived. This was addressed by DPM Wong in his Round-Up Speech in Budget 2023, but let me summarise briefly: </s>","<s>40. PSP’s belief that we have plenty of excess fiscal space is misconceived. This was addressed by DPM Wong in his Round-Up Speech in Budget 2023, but let me summarise briefly: </s>",32,32,2.829999903042335e-05
<s>41. COVID-19 Expenditure: The amount of COVID-19 expenditures funded from current revenues instead of Past Reserves does not reflect excess resources. </s>,<s>41. COVID-19 Expenditure: The amount of COVID-19 expenditures funded from current revenues instead of Past Reserves does not reflect excess resources. </s>,22,22,2.499999936844688e-05
<s>a. I am making this point because that was something raised in the Budget 2023 debate by Mr Leong Mun Wai. The COVID-19 expenditure does not reflect excess resources; it reflects diverted resources. </s>,<s>a. I am making this point because that was something raised in the Budget 2023 debate by Mr Leong Mun Wai. The COVID-19 expenditure does not reflect excess resources; it reflects diverted resources. </s>,34,34,2.6699999580159783e-05
"<s>b. Projects that were planned and budgeted for had to be deferred during COVID and the resources that would otherwise have been used for them were reallocated to the urgent task of fighting COVID-19. Now that we are out of the pandemic, these projects are back on track and we will need to spend on them. </s>","b. Projects that were planned and budgeted for had to be deferred during COVID. resources that would otherwise have been used for them were reallocated to the urgent task of fighting COVID-19. Now that we are out of the pandemic, these projects are back on track and we will need to spend on them.",57,54,9.120491399999082
"<s>42. Funds:  Mr Leong Mun Wai talked about funds just now, and his assumption is that we are parking away these moneys, and somehow there is all these excess money that is not being used. More importantly, his suggestion is that they are not being used on today’s, present-day, Singaporeans, or the present-day generation. That is not so.</s>","Mr Leong Mun Wai said funds are not being used on today’s, present-day, Singaporeans. That is not so, he said. Mr Leong said: ‘We are parking away these moneys.’",58,29,14.452820800001064
"<s>a. Contrary to PSP’s assertion, the moneys that we put in funds are not just for the far unknown future, but are resources set aside to meet specific funding commitments that are already benefitting Singaporeans today.  </s>","<s>a. Contrary to PSP’s assertion, the moneys that we put in funds are not just for the far unknown future, but are resources set aside to meet specific funding commitments that are already benefitting Singaporeans today.  </s>",37,37,0.00023239999973156955
"<s>b. For example, over $2 billion is disbursed annually from the GST Voucher Fund for the GSTV Scheme, which is a permanent scheme, to help lower- and middle-income Singaporean households defray their GST expenses. This goes to Singaporeans of today, not just unborn Singaporeans of the future.</s>","<s>b. For example, over $2 billion is disbursed annually from the GST Voucher Fund for the GSTV Scheme, which is a permanent scheme, to help lower- and middle-income Singaporean households defray their GST expenses. This goes to Singaporeans of today, not just unborn Singaporeans of the future.</s>",47,47,3.420000030018855e-05
"<s>c. Other examples include the funds for the Pioneer Generation and the Merdeka Generation Packages, both of which are drawn down regularly today for Singaporeans of today to support them. </s>","<s>c. Other examples include the funds for the Pioneer Generation and the Merdeka Generation Packages, both of which are drawn down regularly today for Singaporeans of today to support them. </s>",31,31,0.0004941999995935475
"<s>d. We also have Funds set up to meet longer-term commitments, especially where the expenditure is large and lumpy. For example, the Changi Airport Development Fund funds the development of Terminal 5 and other aviation facilities. These commitments benefit all Singaporeans by securing our economic competitiveness and creating jobs for current and future generations.</s>","The Changi Airport Development Fund funds the development of Terminal 5 and other aviation facilities. These commitments benefit all Singaporeans by securing our economic competitiveness and creating jobs for current and future generations, says the prime minister. The funds are also used to meet longer-term commitments, especially where the expenditure is large and lumpy.",54,54,10.533684200001517
"<s>e. By setting these moneys aside when we are able to do so, we smoothen out lumpy spending and give Singaporeans assurance that support will be available in the future, and they will not have to scramble to find the money only when it is needed. </s>","<s>e. By setting these moneys aside when we are able to do so, we smoothen out lumpy spending and give Singaporeans assurance that support will be available in the future, and they will not have to scramble to find the money only when it is needed. </s>",47,47,6.989999928919133e-05
"<s>This is prudent, thoughtful, and responsible fiscal policy – not evidence of excess fiscal resources. </s>","<s>This is prudent, thoughtful, and responsible fiscal policy – not evidence of excess fiscal resources. </s>",16,16,2.6599998818710446e-05
"<s>43. Then Mr Leong suggests that we have excess resources from the NIRC, but that, too, is not the case. Revenues, including NIRC, are pooled together to fund our annual spending needs. I have just explained the Government’s approach to setting aside resources in Funds, which are being drawn down today, and not just in the future. So, there is no excess NIRC, as PSP alleges. </s>","Revenues, including NIRC, are pooled together to fund our annual spending needs. I have just explained the Government’s approach to setting aside resources in Funds, which are being drawn down today, and not just in the future. So, there is no excess NIRC as PSP alleges.",67,46,9.081589800000074
<s>44. Mr Leong suggests that we are somehow over-accumulating funds or spending more than necessary. </s>,<s>44. Mr Leong suggests that we are somehow over-accumulating funds or spending more than necessary. </s>,16,16,9.200000022246968e-05
"<s>45. But, it is important to look at our fiscal projections as a percentage of GDP, and not in nominal terms, as Mr Leong has done when comparing our current and pre-Covid expenditure. </s>","<s>45. But, it is important to look at our fiscal projections as a percentage of GDP, and not in nominal terms, as Mr Leong has done when comparing our current and pre-Covid expenditure. </s>",34,34,3.680000008898787e-05
"<s>46. Government expenditure was 18% of GDP in 2019, and as DPM Wong has explained previously, we expect it to reach potentially over 20% by 2030. It does not reflect imprudent spending, but rather medium-term trends, including the need to spend more on healthcare due to our ageing population.</s>","<s>46. Government expenditure was 18% of GDP in 2019, and as DPM Wong has explained previously, we expect it to reach potentially over 20% by 2030. It does not reflect imprudent spending, but rather medium-term trends, including the need to spend more on healthcare due to our ageing population.</s>",49,49,3.2699999792384915e-05
"<s>47. From time to time, we may have revenue upsides but that should not be taken as evidence of excess funds. The right way to assess our fiscal position is not based on year-to-year changes, but based on the broader medium-term trends. </s>","<s>47. From time to time, we may have revenue upsides but that should not be taken as evidence of excess funds. The right way to assess our fiscal position is not based on year-to-year changes, but based on the broader medium-term trends. </s>",43,43,3.0199998946045525e-05
"<s>a. As set out in the MOF Occasional Paper on Medium-Term Fiscal Projections published last year, Government expenditure is now at 18% of GDP and we expect it to reach over 20% by 2030, as I mentioned just now.</s>","<s>a. As set out in the MOF Occasional Paper on Medium-Term Fiscal Projections published last year, Government expenditure is now at 18% of GDP and we expect it to reach over 20% by 2030, as I mentioned just now.</s>",39,39,2.789999962260481e-05
"<s>48. On the revenue side, without the GST increase and other revenue measures, we would not be able to fund this projected increase in expenditure. The GST increase and other moves will help close the gap – assuming we maintain spending at 20% of GDP, which may not be an easy task given the increasing calls on the Government to do more. </s>","""Without the GST increase and other revenue measures, we would not be able to fund this projected increase in expenditure,"" he says. ""This is assuming we maintain spending at 20% of GDP, which may not be an easy task,"" he adds.",63,41,8.602626300000338
"<s>49. The reality is that we are in a tight fiscal position over the medium term. Hence, our budget policies must continue to be prudent and sustainable. We will continue to monitor our revenue and expenditure trends closely, and adjust our fiscal strategies to meet our collective aspirations in a way that is fair to both current and future generations of Singaporeans.</s>","""We are in a tight fiscal position over the medium term,"" says the PM. ""We will continue to monitor our revenue and expenditure trends closely, and adjust our fiscal strategies to meet our collective aspirations,"" he adds. ""This is fair to both current and future generations of Singaporeans,"" he says.",62,50,9.01037069999984
<s>Reserves Policies</s>,<s>Reserves Policies</s>,2,2,5.759999839938246e-05
